loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
71,4,1,1,-1.6244810049593326,-1.5077408213017613,20,-1.5076604789196137,100000,200000,1900000,600000,1
72,5,0,1,0.0858275908214955,0.383370172645897,4,-1.2408549247422251,2700000,9700000,11900000,4200000,0
73,5,1,0,0.6915618851605387,0.35019278678716614,4,-1.0552510609666506,18400000,11700000,21500000,7600000,1
74,3,1,1,0.26398473621533175,0.17324672887393497,16,0.7833872145601363,3900000,9400000,12600000,5600000,0
75,2,1,0,-0.8762209943052203,-0.7446609465509518,6,-0.6144418844996606,6500000,3800000,5600000,2000000,1
76,2,1,0,-1.125640997856591,-0.9547843903229138,18,0.4121794870089869,600000,2500000,4800000,1100000,0
77,4,0,0,0.22835330713656452,-0.03687671489802706,16,0.5629826263266413,14300000,7800000,12900000,6300000,0
78,0,0,0,1.4041904667358838,2.0311803369628625,8,1.166195183597259,11600000,8900000,35400000,11100000,0
79,2,1,0,1.2260333213420476,1.5777560635602075,12,-0.1388319835747505,17600000,5600000,25200000,9000000,0
80,0,1,0,-1.553218146801798,-1.5187999499213383,14,0.2265756232334122,1900000,700000,2400000,900000,0
81,4,0,0,-0.555538132596315,-0.689365303453067,4,-0.7536447823313417,1300000,2200000,12300000,2000000,1
82,0,1,0,1.3329276085783492,1.7768203787125927,4,1.3111982021719268,2900000,500000,33300000,8600000,0
83,2,1,1,1.724873328444789,0.6709075167548977,16,-1.3742577018309194,25500000,11400000,26600000,6800000,1
84,3,0,0,-0.5199067035175478,-0.7225426893117979,20,0.07577248391575776,9400000,300000,10300000,3300000,0
85,3,1,1,-0.7336952779901512,-0.7667792037901057,16,0.6557845582144287,5300000,5800000,11000000,3400000,0
86,2,0,0,0.6202990270030043,0.6709075167548977,16,-0.9334485253639296,17100000,4700000,23300000,3600000,1
87,5,1,1,-1.410692430486729,-1.2533808630514915,18,-1.2350548039992384,1300000,1200000,3800000,1600000,1
88,1,1,1,1.297296179499582,1.4561056487448611,8,-1.1480529928544378,20400000,13600000,27900000,10200000,1
89,4,0,1,-1.0900095687778237,-0.7888974610292596,6,1.3749995303447806,5100000,2600000,3900000,2900000,0
90,2,1,0,1.6892418993660219,2.4846046103655173,10,0.23817586471938562,24100000,0,23400000,7600000,0
91,4,0,0,0.22835330713656452,0.6598483881353208,18,-0.6434424882145942,500000,4300000,12500000,6000000,1
92,4,0,0,1.3329276085783492,0.615611873657013,18,-0.347636330322272,19200000,3200000,22400000,12700000,1
93,4,0,0,-0.4486438453600132,-0.689365303453067,4,1.4156003755456876,9100000,3500000,13100000,4700000,0
94,1,0,0,-1.1969038560141254,-0.9658435189424908,10,-0.8580469557051024,900000,1100000,5600000,2100000,1
95,2,0,0,-1.4463238595654964,-1.4524451782038765,10,-1.3568573396019594,1200000,400000,3200000,1300000,1
96,5,0,0,-1.695743863116867,-1.551977335780069,2,-1.739665308639082,100000,500000,700000,400000,0
97,2,0,1,0.5490361688454698,-0.014758457658873165,18,-0.7536447823313417,1200000,4800000,18200000,7000000,1
98,2,1,0,1.297296179499582,1.0911544042988217,20,1.5142024281764617,14700000,8500000,23200000,7300000,0
99,4,0,0,1.5467161830509528,1.5777560635602075,12,-0.2200336739765644,25900000,15200000,36400000,7100000,0
100,0,0,0,-0.23485527088740973,-0.479241859681105,14,-0.7942456275322486,2400000,4800000,13800000,4700000,1
101,4,1,0,-1.6601124340380997,-1.574095593019223,12,-0.7072438163874479,700000,100000,1200000,100000,1
102,2,1,1,-1.695743863116867,-1.551977335780069,2,0.5919832300415748,300000,200000,500000,200000,0
103,2,1,1,-0.27048669996617697,-0.2470001586699891,20,0.1047730876306913,11400000,3600000,11400000,2400000,0
104,4,0,0,-1.2325352850928928,-1.175966962714453,12,0.19177489877549195,700000,1700000,4100000,1900000,0
105,5,1,1,0.40651045253040075,0.9363266036247444,10,-1.5598615656064942,18500000,10300000,23800000,8700000,1
106,3,1,1,-0.30611812904494423,-0.6008922744964514,16,1.3982000133167274,7800000,300000,16700000,5100000,0
107,4,1,1,1.4041904667358838,0.32807452954801225,12,0.9515907161067508,600000,16500000,20800000,11600000,0
108,0,0,0,-0.840589565226453,-0.501360116920259,6,-0.05183017242994984,1300000,2700000,9900000,1800000,0
109,1,0,1,1.6536104702872545,2.296599423832709,2,0.690585282672349,19600000,7600000,20400000,10900000,0
110,2,0,0,-0.6268009907538495,-0.921607004464183,14,-1.641063256008308,3400000,300000,11700000,3600000,1
111,0,1,0,-1.695743863116867,-1.551977335780069,8,1.0327924065085647,800000,200000,900000,100000,0
112,3,0,1,0.8340876014756078,0.3391336581675892,14,-1.7280650671531088,5600000,3100000,17900000,5000000,1
113,5,1,0,0.727193314239306,0.5050205874612435,8,-0.568040918555767,7300000,5600000,25300000,9800000,1
114,5,1,1,0.7984561723968405,0.7704396743310902,18,1.6186046015502225,19500000,10600000,19300000,9800000,0
115,1,1,0,1.1904018922632802,0.9142083463855906,14,-0.945048766849903,15400000,5800000,33400000,8100000,1
116,0,1,1,-0.6268009907538495,-0.479241859681105,12,1.1429947006253123,600000,6000000,7700000,3300000,0
117,4,1,1,0.26398473621533175,0.8920900891464366,18,-0.8348464727331556,16100000,4200000,22600000,7500000,1
118,0,1,0,-1.5888495758805652,-1.4966816926821844,6,0.2729765891773059,1500000,600000,1500000,700000,0
119,0,1,0,0.7628247433180733,0.07371457129774242,12,-1.2814557699431322,12700000,12200000,21500000,3600000,1
120,1,1,1,1.4398218958146511,1.9648255652454008,2,0.6789850411863755,2200000,2000000,23600000,5900000,0
121,5,0,0,-1.4819552886442635,-1.4192677923451458,16,-0.31863572660733847,100000,200000,2700000,800000,1
122,2,0,0,-1.5175867177230307,-1.319735634768953,8,-1.641063256008308,300000,1000000,2000000,900000,1
123,1,1,0,1.2260333213420476,1.9648255652454008,10,-0.17363270803267072,5100000,6200000,20500000,5500000,0
124,0,1,1,1.4041904667358838,0.39442930126547393,18,1.5374029111484084,26800000,0,20900000,11300000,0
125,3,0,0,0.6915618851605387,0.48290233022208956,14,0.690585282672349,12200000,10300000,18200000,10200000,0
126,3,0,0,-1.7313752921956342,-1.6072729788779538,16,1.2821975984569933,400000,100000,500000,100000,0
127,4,1,1,-1.6601124340380997,-1.5851547216388,10,1.5026021866904882,900000,500000,800000,200000,0
128,3,1,0,0.01456473266396101,0.3391336581675892,10,-1.1886538380553449,100000,8000000,15500000,6300000,1
129,2,1,1,-1.553218146801798,-1.3860904064864148,12,-0.9914497327937967,1600000,1300000,2700000,800000,1
130,3,0,0,-1.6601124340380997,-1.540918207160492,12,1.5142024281764617,200000,600000,1100000,200000,0
131,0,1,1,1.58234761212972,0.6266710022765899,14,-0.20263331174760427,15100000,11900000,33900000,13400000,0
132,5,0,0,1.3329276085783492,0.825735317428975,10,-1.4090584262888397,7900000,8600000,18200000,4900000,1
133,3,1,1,-1.1612724269353583,-1.2754991202906454,18,-0.7826453860462752,600000,500000,5400000,2600000,1
134,4,1,1,0.6202990270030043,-0.1364088724742196,8,-0.7014436956444613,11700000,9100000,25700000,9600000,1
135,3,1,0,-1.26816671417166,-1.0653756765186833,16,0.6789850411863755,2100000,800000,4400000,1300000,0
136,3,0,0,-1.2325352850928928,-1.0653756765186833,12,-1.0146502157657435,600000,800000,5400000,900000,1
137,2,1,0,-0.16359241272987524,0.17324672887393497,2,1.0791933724524585,200000,5900000,13900000,6100000,0
138,5,1,1,-1.0187467106202892,-0.9326661330837599,6,-1.2640554077141721,4400000,1300000,8600000,1100000,1
139,3,1,1,-0.7693267070689185,-0.7336018179313748,12,-0.208433432490591,1000000,3100000,7500000,1800000,0
140,0,0,0,-1.7313752921956342,-1.596213850258377,8,-0.5738410392987536,500000,200000,700000,100000,1
141,2,1,1,-0.9118524233839875,-0.6340696603551823,10,0.7369862486162426,6600000,4100000,9500000,3300000,0
142,4,1,0,-0.5199067035175478,-0.8441931041271443,6,1.705606412695023,1100000,6500000,7400000,2800000,0
143,0,0,1,0.15709044897903002,0.17324672887393497,18,1.3285985644008869,5500000,1300000,12800000,5900000,0
144,4,1,0,0.5490361688454698,0.2506606292109736,20,-0.5448404355838201,2600000,10000000,25900000,7200000,1
145,2,0,1,1.2616647504208147,1.8763525362887852,6,1.1719953043402458,9400000,16700000,24500000,9800000,0
146,5,1,0,-1.5888495758805652,-1.5077408213017613,14,-0.33023596809331185,300000,900000,2100000,300000,1
147,3,0,1,-1.3037981432504273,-1.319735634768953,20,0.9979916820506445,2400000,900000,5100000,1600000,0
148,3,0,0,-0.37738098720247876,-0.4460644738223742,12,-0.1620324665466973,9700000,100000,12500000,2400000,0
149,0,1,1,-0.05669812549357349,-0.3575914448657586,16,0.6325840752424818,14600000,900000,18500000,3800000,0
150,5,0,0,-1.0900095687778237,-0.9879617761816447,18,-1.1480529928544378,4000000,2100000,7200000,1100000,1
151,1,1,1,0.050196161742728264,0.46078407298293567,8,-0.6898434541584878,14300000,9500000,18800000,4200000,1
152,5,0,1,1.3685590376571166,1.5114012918427457,6,0.9979916820506445,13600000,5500000,20400000,8400000,0
153,1,0,1,0.5134047397667025,0.604552745037436,2,-1.7048645841811618,15900000,1900000,18100000,3200000,0
154,2,1,0,-1.3394295723291945,-1.175966962714453,6,-1.0726514231956106,0,900000,2900000,1200000,1
155,3,1,0,1.5467161830509528,2.1970672662565165,16,-0.30123536437837833,18200000,4400000,36100000,4800000,1
156,5,1,0,-0.02106669641480624,-0.4350053452027972,8,0.5861831092985882,9100000,500000,14000000,4600000,0
157,2,0,0,-0.7336952779901512,-0.8220748468879905,12,1.6824059297230762,4700000,4300000,8400000,2100000,0
158,5,1,1,1.724873328444789,2.0090620797237086,6,-1.3684575810879327,5300000,18700000,27800000,8300000,1
159,5,0,1,-1.553218146801798,-1.5298590785409152,20,0.6035834715275483,1600000,0,2200000,600000,0
160,3,0,1,-0.37738098720247876,-0.501360116920259,10,-1.6352631352653215,1500000,5100000,8000000,4900000,1
161,5,1,0,-0.698063848911384,-0.6119514031160284,2,0.9341903538777907,5800000,1800000,10400000,4200000,0
162,4,1,0,-0.1992238418086425,-0.0036993290392962164,6,0.5397821433546945,3700000,1500000,17800000,6000000,0
163,3,1,0,1.6536104702872545,0.604552745037436,16,-0.44043826221005933,24200000,11100000,27400000,6100000,1
164,2,1,1,-1.0900095687778237,-1.0874939337578373,10,0.47018069443885396,4900000,1400000,4300000,2900000,0
165,2,0,1,1.0835076050269785,0.7925579315702441,18,0.7949874560461097,22300000,12600000,27000000,7300000,0
166,0,1,0,0.22835330713656452,0.08477369991731938,16,0.2207755024904255,100000,9500000,16300000,4500000,0
167,4,1,0,0.26398473621533175,-0.25805928728956606,2,0.3251776758641863,500000,5000000,16000000,2800000,0
168,1,0,0,-1.1612724269353583,-0.9547843903229138,6,-0.347636330322272,2500000,3200000,5000000,1100000,1
169,4,1,1,1.4398218958146511,2.2191855234956703,6,-1.5018603581766272,1000000,300000,23100000,8200000,1
170,0,1,1,-0.09232955457234074,0.26171975783055057,2,-1.327856735887026,11700000,6800000,18700000,3500000,0
171,3,1,1,-0.4486438453600132,-0.5124192455398359,12,1.6592054467511292,4000000,500000,14900000,2300000,0
172,0,1,0,-1.125640997856591,-1.2202034771927606,18,1.166195183597259,400000,800000,4800000,1200000,0
173,3,1,1,-0.5199067035175478,-0.6230105317356054,16,0.8587887842189635,7700000,2400000,9700000,2600000,0
174,2,1,1,0.8340876014756078,1.445046520125284,8,-1.2988561321720924,21900000,5000000,17400000,5200000,1
175,4,1,1,0.5490361688454698,-0.09217235799591181,8,-1.327856735887026,10800000,9500000,18500000,7400000,1
176,2,0,0,-1.1612724269353583,-1.0874939337578373,6,1.3111982021719268,4500000,700000,6500000,1300000,0
177,4,1,0,1.4754533248934183,1.3344552339295146,12,1.5838038770923022,4500000,1800000,33800000,11400000,0
178,5,1,1,-0.9474838524627548,-0.7225426893117979,8,-1.6874642219522018,500000,600000,5700000,2800000,1
179,4,1,0,0.19272187805779725,-0.2027636441916813,20,1.5606033941203552,3300000,7500000,20000000,6500000,0
180,5,0,0,-0.4486438453600132,-0.1364088724742196,12,-0.38243705478019224,4700000,2900000,8200000,2800000,1
181,3,1,1,-0.1992238418086425,0.30595627230885836,6,1.0849934931954452,9800000,3600000,14300000,4200000,0
182,0,0,1,-1.4819552886442635,-1.4303269209647227,16,-0.19683319100461757,100000,700000,2000000,600000,0
183,0,1,0,-0.8049581361476857,-0.5787740172572976,8,0.8239880597610433,4900000,1300000,6700000,1700000,0
184,2,1,0,0.869719030554375,0.8810309605268597,4,1.2995979606859533,12100000,10900000,26300000,9500000,0
185,4,0,0,-1.3037981432504273,-1.3307947633885302,14,-0.14463210431773718,3000000,2100000,4900000,1400000,0
186,2,0,1,-0.4486438453600132,-0.4681827310615281,10,0.9631909575927242,1900000,3900000,8600000,3000000,0
187,1,1,1,-1.1969038560141254,-1.120671319616568,10,1.6708056882371027,2900000,900000,4100000,2200000,0
188,3,0,1,1.4041904667358838,1.688347349755977,6,0.2207755024904255,16800000,11000000,26900000,9200000,0
189,5,1,1,0.7984561723968405,0.9031492177660136,6,0.12797357060263814,7100000,11600000,26400000,10500000,0
190,1,1,0,0.8340876014756078,0.5160797160808204,18,-0.8232462312471821,12600000,6200000,27700000,4000000,1
191,1,1,0,1.4041904667358838,1.445046520125284,16,-1.583062048578441,1700000,2300000,24000000,11200000,1
192,0,1,0,-0.7336952779901512,-0.9547843903229138,2,0.06997236317277106,8800000,3400000,6700000,1700000,0
193,1,0,0,-1.5175867177230307,-1.352913020627684,8,0.4759808151818407,2200000,1100000,2900000,700000,0
194,2,0,0,-0.09232955457234074,-0.21382277281125825,2,-0.09823113837384351,13700000,5800000,9500000,5200000,0
195,5,1,0,0.47777331068793527,0.35019278678716614,8,0.5629826263266413,10000000,3600000,22500000,3600000,0
196,3,0,0,1.4754533248934183,1.3233961053099377,12,-1.7048645841811618,5800000,11500000,28000000,9600000,1
197,4,1,1,-1.6601124340380997,-1.5077408213017613,2,0.4005792455230135,-100000,600000,900000,500000,0
198,2,1,0,-0.8049581361476857,-1.0100800334207987,18,1.2531969947420598,6300000,4200000,8000000,3400000,0
199,4,1,1,1.2260333213420476,1.5224604204623227,20,-0.8406465934761422,15200000,5800000,22500000,9400000,1
200,3,0,1,-0.127960983651108,0.14006934301520413,10,-1.6352631352653215,11400000,8100000,16200000,4300000,1
201,4,1,1,1.6892418993660219,0.6709075167548977,20,-1.4206586677748132,22000000,8900000,31800000,14400000,1
202,2,1,1,-0.4486438453600132,-0.689365303453067,16,-1.2234545625132651,200000,5600000,12200000,2200000,1
203,2,0,0,-1.6244810049593326,-1.5077408213017613,2,1.6708056882371027,1500000,300000,1500000,600000,0
204,2,0,1,0.6559304560817715,0.05159631405858853,6,-1.4380590300037732,13000000,5300000,22600000,10000000,1
205,4,1,1,1.6179790412084873,1.6551699638972461,12,1.566403514863342,300000,6700000,38200000,5600000,0
206,3,1,0,-0.7693267070689185,-0.9547843903229138,18,1.3169983229149136,8300000,600000,10400000,3200000,0
207,2,0,0,1.6892418993660219,0.6377301308961668,12,0.9747911990786977,3400000,10200000,38600000,13400000,0
208,0,0,0,0.727193314239306,0.02947805681943463,18,0.6209838337565085,10300000,10800000,19600000,5800000,0
209,1,1,1,0.9409818887119096,0.4386658157437818,10,-1.4206586677748132,11300000,4900000,21900000,6600000,1
210,3,0,0,-1.3037981432504273,-1.3086765061493761,2,0.3019771928922394,100000,2100000,3500000,1900000,0
211,3,0,0,0.9766133177906767,0.08477369991731938,2,0.3773787625510666,14400000,900000,27200000,5400000,0
212,5,1,1,-1.1969038560141254,-1.0100800334207987,18,-1.043650819480677,500000,1600000,3700000,2300000,1
213,2,1,0,1.2260333213420476,1.942707308006247,18,-0.7478446615883549,12600000,9400000,33900000,12500000,1
214,5,1,0,-1.125640997856591,-0.8441931041271443,20,0.6673847997004021,5100000,2800000,6500000,2800000,0
215,2,1,1,0.5846675979242371,0.0073597995802807325,10,0.5165816603827477,0,8200000,15000000,6800000,0
216,3,0,1,0.6559304560817715,0.14006934301520413,4,1.0849934931954452,11100000,6100000,26400000,3800000,0
217,2,0,0,-0.8762209943052203,-0.8110157182684135,4,1.2705973569710198,3100000,4300000,5700000,1500000,0
218,4,0,1,1.6179790412084873,0.6598483881353208,6,1.2125961495411528,16100000,9500000,34700000,8700000,0
219,1,1,1,0.6202990270030043,0.2064241147326658,2,0.8355883012470167,15500000,3900000,23700000,3500000,0
220,0,1,0,-0.6624324198326168,-0.4239462165832203,6,-0.6724430919295277,3500000,5500000,8500000,2100000,1
221,4,1,0,-0.7693267070689185,-0.5234783741594128,6,0.4237797284949603,5100000,1700000,10600000,1700000,0
222,3,0,1,1.012244746869444,0.6709075167548977,18,0.5513823848406679,13800000,10600000,21800000,4900000,0
223,4,1,1,-0.413012416281246,-0.30229580176787385,12,-0.7362444201023816,6400000,4700000,13100000,3800000,1
224,4,0,1,-0.16359241272987524,-0.4571236024419511,2,-0.6318422467286208,9000000,4000000,16100000,3500000,1
225,3,1,1,-1.553218146801798,-1.4856225640626073,8,0.7717869730741629,1200000,800000,2400000,500000,0
226,0,1,0,0.050196161742728264,0.05159631405858853,20,-0.9624491290788632,14100000,5800000,18100000,5500000,1
227,3,1,1,0.299616165294099,0.604552745037436,10,1.026992285765578,1900000,4600000,21200000,6400000,0
228,4,0,0,0.7628247433180733,0.4386658157437818,4,1.009591923536618,9400000,7000000,17900000,3600000,0
229,1,1,1,1.297296179499582,1.3123369766903608,10,0.6789850411863755,25500000,8600000,17500000,9100000,0
230,3,1,1,-1.410692430486729,-1.2865582489102223,12,-0.5622407978127802,3000000,400000,2200000,1200000,1
231,1,0,1,-0.37738098720247876,-0.4681827310615281,14,-0.011229327229042876,3600000,6600000,13600000,4400000,0
232,2,0,0,1.6892418993660219,1.909529922147516,2,-0.33023596809331185,24200000,17500000,25700000,7700000,0
233,0,1,1,-0.840589565226453,-0.921607004464183,20,1.1371945798823255,700000,4200000,7000000,1900000,0
234,3,1,1,1.3329276085783492,2.152830751778209,8,-1.2408549247422251,14800000,16500000,18400000,6000000,1
235,5,1,1,-0.6268009907538495,-0.8110157182684135,16,0.18597477803250523,8500000,500000,7100000,4900000,0
236,1,0,1,0.6559304560817715,0.9142083463855906,4,-0.6898434541584878,18700000,1100000,23400000,10200000,0
237,3,0,1,-1.4819552886442635,-1.2865582489102223,4,0.9863914405646711,700000,0,2000000,600000,1
238,3,0,1,-0.3417495581237115,0.04053718543901158,6,0.38897900403704005,2800000,1600000,14700000,4000000,0
239,3,1,1,-0.127960983651108,0.26171975783055057,8,-0.0866308968878701,1200000,3100000,9600000,4900000,0
240,5,0,1,-0.5911695616750823,-0.3907688307244894,16,-0.7014436956444613,9200000,5700000,11200000,2400000,1
241,2,0,0,1.6179790412084873,0.814676188809398,18,1.4562012207465944,7400000,16200000,24300000,12700000,0
242,3,1,1,0.6915618851605387,0.11795108577605022,6,-1.287255890686119,20000000,12600000,20300000,5500000,1
243,5,0,0,0.22835330713656452,-0.2470001586699891,18,1.2009959080551793,4100000,900000,18600000,5500000,0
244,1,1,1,1.119139034105746,1.909529922147516,18,1.3401988058868604,22800000,12300000,17700000,7800000,0
245,2,1,0,-1.0543781396990566,-1.1096121909969912,12,0.429579849237947,2200000,3200000,6400000,2400000,0
246,1,1,1,1.0478761759482114,1.433987391505707,18,0.7253860071302691,1900000,12800000,23000000,7500000,0
247,2,1,0,1.0478761759482114,1.5666969349406306,4,0.00037091425693054283,16500000,13200000,29400000,6500000,0
248,0,1,1,1.5467161830509528,1.3123369766903608,10,-0.37083681329421886,4400000,1700000,33800000,4800000,1
249,0,0,0,1.1904018922632802,0.604552745037436,10,-0.7130439371304347,1500000,1500000,25000000,11900000,1
